time,Hs,Tp
1514764800.0,1.6630859375,5.849464416503906
1514786400.0,1.53955078125,6.906349182128906
1514808000.0,1.593017578125,6.134132385253906
1514829600.0,1.967529296875,6.178321838378906
1514851200.0,1.188232421875,5.953468322753906
1514872800.0,0.74560546875,4.612648010253906
1514894400.0,1.001220703125,6.004249572753906
1514916000.0,1.176513671875,6.209327697753906
1514937600.0,2.60400390625,7.648292541503906
1514959200.0,2.11572265625,7.072608947753906
1514980800.0,2.02001953125,6.543800354003906
1515002400.0,2.152099609375,7.158546447753906
1515024000.0,1.036376953125,7.400245666503906
1515045600.0,0.401123046875,6.192237854003906
1515067200.0,0.296875,5.204444885253906
1515088800.0,1.123291015625,4.926612854003906
1515110400.0,0.93408203125,4.819679260253906
1515132000.0,0.1279296875,4.996925354003906
1515153600.0,2.5103303699538886e-16,10.026222229003906
1515175200.0,0.137451171875,9.748390197753906
1515196800.0,0.7451171875,3.6097183227539062
1515218400.0,1.35107421875,5.142921447753906
1515240000.0,1.4130859375,5.680519104003906
1515261600.0,1.230712890625,5.320655822753906
1515283200.0,0.85302734375,5.104835510253906
1515304800.0,0.49072265625,4.303565979003906
1515326400.0,0.451171875,3.8348159790039062
1515348000.0,0.52880859375,3.5379409790039062
1515369600.0,1.095947265625,4.915382385253906
1515391200.0,1.355224609375,5.551612854003906
1515412800.0,1.37939453125,5.630714416503906
1515434400.0,1.488525390625,5.644386291503906
1515456000.0,1.595458984375,5.603858947753906
1515477600.0,1.3662109375,5.676124572753906
1515499200.0,1.59619140625,5.610206604003906
1515520800.0,1.90478515625,5.956886291503906
1515542400.0,1.055908203125,6.542823791503906
1515564000.0,0.093994140625,7.121925354003906
1515585600.0,0.05126953125,8.094581604003906
1515607200.0,0.21533203125,8.308448791503906
1515628800.0,0.0703125,8.449562072753906
1515650400.0,0.315673828125,3.0135269165039062
1515672000.0,2.548868251471591e-16,8.416358947753906
1515693600.0,2.549336237174949e-16,8.437355041503906
1515715200.0,0.25146484375,8.343605041503906
1515736800.0,0.89306640625,3.9358901977539062
1515758400.0,1.41845703125,5.065284729003906
1515780000.0,1.75048828125,5.795753479003906
1515801600.0,2.064697265625,6.275733947753906
1515823200.0,2.15234375,6.593605041503906
1515844800.0,1.982421875,6.393898010253906
1515866400.0,1.752685546875,6.332862854003906
1515888000.0,1.628662109375,6.266456604003906
1515909600.0,1.26708984375,5.952003479003906
1515931200.0,1.7275390625,6.029640197753906
1515952800.0,2.4306640625,6.838233947753906
1515974400.0,2.632080078125,7.733741760253906
1515996000.0,0.601318359375,7.865577697753906
1516017600.0,0.951416015625,7.693214416503906
1516039200.0,1.51220703125,5.426612854003906
1516060800.0,1.746337890625,6.173194885253906
1516082400.0,2.099609375,6.310401916503906
1516104000.0,2.284423828125,6.841163635253906
1516125600.0,2.38671875,6.898780822753906
1516147200.0,2.685546875,6.996437072753906
1516168800.0,2.431884765625,7.099952697753906
1516190400.0,2.0087890625,6.484718322753906
1516212000.0,1.40673828125,6.323097229003906
1516233600.0,0.337646484375,6.114112854003906
1516255200.0,0.987060546875,4.879249572753906
1516276800.0,0.990478515625,4.855812072753906
1516298400.0,1.251953125,5.273292541503906
1516320000.0,1.266845703125,5.301124572753906
1516341600.0,1.4130859375,5.567726135253906
1516363200.0,1.7216796875,5.946632385253906
1516384800.0,1.673828125,6.271339416503906
1516406400.0,1.1513671875,5.796730041503906
1516428000.0,0.194580078125,5.581398010253906
1516449600.0,0.06591796875,5.488136291503906
1516471200.0,0.31298828125,2.7791519165039062
1516492800.0,0.0498046875,9.153175354003906
1516514400.0,0.7967529296875,3.6185073852539062
1516536000.0,2.0146484375,5.824562072753906
1516557600.0,0.4423828125,6.144874572753906
1516579200.0,0.634033203125,5.517921447753906
1516600800.0,0.8642578125,4.493995666503906
1516622400.0,0.941650390625,4.626808166503906
1516644000.0,0.754638671875,4.958351135253906
1516665600.0,1.26806640625,5.137062072753906
1516687200.0,1.77978515625,6.299659729003906
1516708800.0,1.685546875,6.927101135253906
1516730400.0,1.478515625,6.901710510253906
1516752000.0,2.0498046875,6.404640197753906
1516773600.0,3.18896484375,8.783058166503906
1516795200.0,2.4072265625,8.431495666503906
1516816800.0,1.803955078125,6.978858947753906
1516838400.0,1.687255859375,6.798194885253906
1516860000.0,1.603759765625,6.577491760253906
1516881600.0,1.301513671875,6.585304260253906
1516903200.0,0.252685546875,7.446144104003906
1516924800.0,0.487060546875,6.255714416503906
1516946400.0,0.290283203125,4.241065979003906
1516968000.0,2.5322918166938244e-16,4.179054260253906
1516989600.0,0.359375,2.7552261352539062
1517011200.0,1.1260986328125,4.386573791503906
1517032800.0,1.797607421875,5.809425354003906
1517054400.0,1.237548828125,6.622413635253906
1517076000.0,1.091552734375,6.134620666503906
1517097600.0,0.893798828125,5.313331604003906
1517119200.0,1.1956787109375,4.834815979003906
1517140800.0,1.520751953125,5.945655822753906
1517162400.0,1.564697265625,6.023780822753906
1517184000.0,2.06689453125,6.252784729003906
1517205600.0,0.70556640625,6.914405822753906
1517227200.0,1.106201171875,4.706398010253906
1517248800.0,0.897216796875,5.300148010253906
1517270400.0,0.74365234375,4.410987854003906
1517292000.0,0.8350830078125,4.343116760253906
1517313600.0,0.9288330078125,4.556007385253906
1517335200.0,1.229736328125,5.121437072753906
1517356800.0,1.809814453125,5.804054260253906
1517378400.0,1.8515625,5.803077697753906
1517400000.0,2.15576171875,6.408546447753906
1517421600.0,1.9755859375,6.740577697753906
1517443200.0,1.730224609375,5.366310119628906
1517464800.0,2.5087890625,6.743019104003906
1517486400.0,2.6181640625,7.007911682128906
1517508000.0,2.77880859375,7.394142150878906
1517529600.0,2.163818359375,7.060401916503906
1517551200.0,1.681396484375,6.359230041503906
1517572800.0,0.61279296875,5.982032775878906
1517594400.0,0.092529296875,5.448097229003906
1517616000.0,0.452880859375,3.2093276977539062
1517637600.0,0.6845703125,3.6243667602539062
1517659200.0,1.1767578125,4.815773010253906
1517680800.0,1.41650390625,5.472023010253906
1517702400.0,0.792236328125,5.590675354003906
1517724000.0,0.33740234375,5.234718322753906
1517745600.0,0.107666015625,5.162940979003906
1517767200.0,0.021728515625,14.028175354003906
1517788800.0,0.097900390625,13.291847229003906
1517810400.0,0.144775390625,2.4666519165039062
1517832000.0,0.35986328125,2.9031753540039062
1517853600.0,0.205322265625,3.2273941040039062
1517875200.0,0.269287109375,2.7186050415039062
1517896800.0,0.75048828125,3.3270034790039062
1517918400.0,1.695556640625,5.776222229003906
1517940000.0,1.4931640625,5.847511291503906
1517961600.0,1.11279296875,5.609230041503906
1517983200.0,0.707275390625,5.024269104003906
1518004800.0,0.178955078125,4.756690979003906
1518026400.0,1.07861328125,3.9861831665039062
1518048000.0,1.396240234375,5.408058166503906
1518069600.0,0.84521484375,5.602394104003906
1518091200.0,0.264892578125,5.658058166503906
1518112800.0,0.5029296875,5.758155822753906
1518134400.0,0.8095703125,4.813819885253906
1518156000.0,1.6943359375,5.147804260253906
1518177600.0,1.361328125,5.991065979003906
1518199200.0,0.645263671875,5.309425354003906
1518220800.0,1.064697265625,4.348976135253906
1518242400.0,2.495849609375,6.324562072753906
1518264000.0,0.3212890625,7.036964416503906
1518285600.0,0.576904296875,6.967628479003906
1518307200.0,1.775634765625,5.377296447753906
1518328800.0,1.649658203125,5.757667541503906
1518350400.0,1.632568359375,5.910987854003906
1518372000.0,1.857421875,6.098976135253906
1518393600.0,1.373779296875,6.006690979003906
1518415200.0,1.25634765625,5.402442932128906
1518436800.0,1.285400390625,5.468116760253906
1518458400.0,1.365234375,5.375831604003906
1518480000.0,3.32861328125,7.664649963378906
1518501600.0,1.458984375,8.458351135253906
1518523200.0,1.126708984375,5.251319885253906
1518544800.0,0.53955078125,9.559425354003906
1518566400.0,0.9658203125,3.7991714477539062
1518588000.0,2.739990234375,6.437355041503906
1518609600.0,3.8544921875,8.373390197753906
1518631200.0,0.883544921875,8.939796447753906
1518652800.0,1.124267578125,8.829444885253906
1518674400.0,1.88427734375,5.734718322753906
1518696000.0,2.208251953125,6.862159729003906
1518717600.0,1.751220703125,6.787452697753906
1518739200.0,1.508056640625,6.296730041503906
1518760800.0,1.220703125,5.825538635253906
1518782400.0,0.990234375,5.206398010253906
1518804000.0,1.744384765625,5.835792541503906
1518825600.0,1.819091796875,6.879249572753906
1518847200.0,0.325927734375,7.021339416503906
1518868800.0,0.392578125,6.900245666503906
1518890400.0,0.12353515625,6.511085510253906
1518912000.0,2.539104079172117e-16,7.716163635253906
1518933600.0,0.178466796875,6.375831604003906
1518955200.0,0.605712890625,3.7088394165039062
1518976800.0,0.61181640625,4.689308166503906
1518998400.0,0.25,4.690284729003906
1519020000.0,0.30810546875,3.8714370727539062
1519041600.0,0.20458984375,3.8768081665039062
1519063200.0,2.552112387659575e-16,3.8924331665039062
1519084800.0,0.892822265625,4.005226135253906
1519106400.0,0.858154296875,4.569679260253906
1519128000.0,0.90185546875,4.722511291503906
1519149600.0,0.81298828125,4.754249572753906
1519171200.0,0.354248046875,4.256202697753906
1519192800.0,0.162353515625,3.9983901977539062
1519214400.0,0.19189453125,14.729835510253906
1519236000.0,0.132080078125,14.201515197753906
1519257600.0,0.321533203125,2.7562026977539062
1519279200.0,0.70654296875,3.8953628540039062
1519300800.0,1.0859375,4.448585510253906
1519322400.0,0.8583984375,4.678077697753906
1519344000.0,1.007568359375,4.438331604003906
1519365600.0,1.162109375,5.094581604003906
1519387200.0,1.407958984375,5.238136291503906
1519408800.0,1.5537109375,5.494972229003906
1519430400.0,1.760986328125,5.773780822753906
1519452000.0,1.542724609375,5.833839416503906
1519473600.0,1.296630859375,5.617530822753906
1519495200.0,0.8515625,5.135597229003906
1519516800.0,1.4698486328125,5.478370666503906
1519538400.0,1.402587890625,5.635597229003906
1519560000.0,1.428466796875,5.721046447753906
1519581600.0,1.08154296875,5.406593322753906
1519603200.0,1.460205078125,5.548194885253906
1519624800.0,1.332275390625,5.725929260253906
1519646400.0,1.168701171875,5.454444885253906
1519668000.0,0.738525390625,5.088722229003906
1519689600.0,0.56689453125,4.560890197753906
1519711200.0,0.8828125,3.6375503540039062
1519732800.0,1.174072265625,5.197120666503906
1519754400.0,0.986572265625,4.805519104003906
1519776000.0,1.532470703125,5.342628479003906
1519797600.0,1.87255859375,6.074073791503906
1519819200.0,2.2001953125,6.480323791503906
1519840800.0,2.0634765625,6.287940979003906
1519862400.0,1.95263671875,6.268409729003906
1519884000.0,1.861328125,6.266944885253906
1519905600.0,2.6494140625,6.750831604003906
1519927200.0,3.16650390625,7.577980041503906
1519948800.0,3.029296875,7.414894104003906
1519970400.0,3.34033203125,7.613136291503906
1519992000.0,2.932861328125,7.486671447753906
1520013600.0,2.7099609375,7.362648010253906
1520035200.0,2.19921875,6.898292541503906
1520056800.0,2.000732421875,6.504737854003906
1520078400.0,1.679931640625,6.283058166503906
1520100000.0,1.388427734375,5.724464416503906
1520121600.0,1.32373046875,5.498390197753906
1520143200.0,1.34765625,5.311866760253906
1520164800.0,1.3818359375,5.494972229003906
1520186400.0,1.104248046875,5.264015197753906
1520208000.0,0.498046875,11.522804260253906
1520229600.0,0.5595703125,11.118995666503906
1520251200.0,0.67822265625,4.029151916503906
