index,pot_time,pot_maxima
23.0,505418400.0,11.390342
1257.0,532072800.0,11.21646
1904.0,546048000.0,12.144008
2248.0,553478400.0,11.156549
2431.0,557431200.0,14.150982
2770.0,564753600.0,11.471739
2861.0,566719200.0,12.013848
3199.0,1426096800.0,12.03808
4018.0,1443787200.0,11.293492
4241.0,1448604000.0,11.828879
4271.0,1449252000.0,12.222765
5782.0,1702814400.0,11.335101
5858.0,1041768000.0,11.044978
5956.0,1043884800.0,11.317329
6863.0,1063476000.0,11.592493
7141.0,1069480800.0,11.999504
8425.0,1570600800.0,11.339011
10142.0,1513080000.0,11.874629
10200.0,1514332800.0,12.248335
11511.0,627501600.0,11.598988
11704.0,884131200.0,11.074235
11754.0,885211200.0,11.321633
11995.0,890416800.0,11.052184
13396.0,920678400.0,11.283492
13462.0,922104000.0,11.817295
14521.0,944978400.0,11.981789
14720.0,1107129600.0,11.024295
15931.0,1133287200.0,11.629776
16036.0,1135555200.0,11.021972
16092.0,410918400.0,11.587572
17347.0,438026400.0,11.711971
17398.0,439128000.0,12.517937
17557.0,789717600.0,11.664453
18768.0,815875200.0,13.555317
19529.0,1715925600.0,11.010143
20518.0,1453204800.0,11.221713
20875.0,1460916000.0,11.079304
20943.0,1462384800.0,11.0138445
22021.0,728287200.0,12.089981
23310.0,756129600.0,11.338419
23333.0,756626400.0,12.822505
23394.0,1168171200.0,11.294925
23549.0,1171519200.0,12.889879
23598.0,1172577600.0,11.196623
23650.0,1173700800.0,12.962577
26102.0,1258286400.0,11.078255
26186.0,1260100800.0,11.778171
26702.0,1271246400.0,12.1183
27723.0,1293300000.0,12.661358
27755.0,852228000.0,12.624202
28103.0,859744800.0,11.212231
30464.0,658281600.0,12.59485
30553.0,660204000.0,11.385087
30639.0,662061600.0,11.3392105
30680.0,820713600.0,12.330507
30706.0,821275200.0,11.207474
32177.0,1641967200.0,11.558829
33522.0,1671019200.0,11.610204
34903.0,1322157600.0,11.64806
35125.0,1611036000.0,11.292296
35165.0,1611900000.0,14.029738
35240.0,1613520000.0,11.528686
36392.0,1638403200.0,12.185475
36438.0,1639396800.0,11.459362
40756.0,722822400.0,11.119258
41028.0,570844800.0,12.2055025
42292.0,598147200.0,11.346595
42494.0,981201600.0,11.268024
42616.0,983836800.0,11.351657
43753.0,1008396000.0,12.575842
43850.0,1010491200.0,11.316271
45656.0,1333497600.0,12.321344
46636.0,1354665600.0,11.326814
46722.0,1356523200.0,11.059835
46752.0,1357171200.0,11.157391
46842.0,1359115200.0,11.924763
46896.0,1360281600.0,11.34419
47019.0,1362938400.0,11.473362
48063.0,1385488800.0,11.38872
48155.0,1387476000.0,11.577784
48300.0,1516838400.0,11.379099
48445.0,1519970400.0,11.1649685
49728.0,443145600.0,11.166323
50843.0,467229600.0,11.323216
50991.0,470426400.0,11.298354
51342.0,762004800.0,11.840275
52268.0,782006400.0,11.998304
52473.0,786434400.0,11.287934
52803.0,1203789600.0,11.031706
54038.0,1230465600.0,11.903145
54101.0,474444000.0,11.005299
56738.0,1415016000.0,11.0477
56854.0,1417521600.0,13.355053
56914.0,1418817600.0,13.357983
57001.0,1073541600.0,11.40263
57013.0,1073800800.0,11.265914
57061.0,1074837600.0,11.241747
57900.0,1092960000.0,11.0846
57976.0,1094601600.0,13.677504
58397.0,1103695200.0,11.224298
59481.0,1158645600.0,11.142447
59739.0,1164218400.0,11.0228615
61208.0,407030400.0,12.112253
61570.0,1582459200.0,11.293587
61674.0,1584705600.0,11.852969
62232.0,1596758400.0,11.292867
62344.0,1599177600.0,12.230043
64204.0,976579200.0,11.289407
64262.0,977832000.0,11.244241
