,global_x,global_y,global_z,delta_s,total_s,has_anchor,depth,k_yy,k_zy,k_yz,k_zz
18999,1899.392230541116,43.888906108855736,-51.940030908444896,0.10000563624076961,1900.0273348946191,True,-52.0,5401.763214478271,0.0,0.0,10803.52642895654
19999,1999.3699843747218,45.99903030792484,-52.994916802388616,0.10000553083581694,2000.0329182970065,True,-52.0,5511.471347448416,0.0,0.0,11022.942694896832
20999,2099.34815823369,48.089158910210244,-54.03980986040551,0.10000542642347326,2100.038396791458,True,-52.0,5620.140225482175,0.0,0.0,11240.280450964348
21999,2199.326748118896,50.159291832125746,-55.074709946638905,0.100005323013503,2200.043771374987,True,-60.0,6608.965193596667,0.0,0.0,13217.930387193339
22999,2299.3057500311897,52.20942899084184,-56.09961692651268,0.10000522059509341,2300.0490430446353,True,-60.0,6731.95403118152,0.0,0.0,13463.908062363043
23999,2399.285159971414,54.23957030440215,-57.1145306667313,0.10000511917788883,2400.0542127975195,True,-60.0,6853.743680007756,0.0,0.0,13707.487360015512
24999,2499.2649739403896,56.24971569154877,-58.119451035396196,0.10000501875602268,2500.059281630813,True,-66.0,7671.767536672298,0.0,0.0,15343.535073344596
25999,2599.245187938919,58.23986507207155,-59.114377901889384,0.10000491933338888,2600.0642505417286,True,-66.0,7803.097883049397,0.0,0.0,15606.195766098797
26999,2699.225797967796,60.21001836610958,-60.09931113664061,0.10000482090570345,2700.0691205275393,True,-66.0,7933.10907003656,0.0,0.0,15866.21814007312
27999,2799.2068000277923,62.16017549490789,-61.074250611825846,0.10000472347517522,2800.073892585597,True,-66.0,8061.801080761012,0.0,0.0,16123.602161522023
28999,2899.1881901196684,64.09033638052642,-62.0391962005524,0.10000462704183032,2900.0785677132776,True,-71.0,8809.56586047844,0.0,0.0,17619.13172095688
29999,2999.1699642441654,66.00050094584003,-62.99414777744096,0.10000453161154424,3000.083146908018,True,-71.0,8945.168984396616,0.0,0.0,17890.337968793232
30999,3099.152118402013,67.89066911424743,-63.93910521827638,0.1000044371722523,3100.0876311673246,True,-71.0,9079.352940995246,0.0,0.0,18158.705881990492
31999,3199.134648593921,69.76084081025328,-64.87406840012409,0.10000434373135342,3200.092021488734,True,-76.0,9860.858396818861,0.0,0.0,19721.716793637723
