,global_x,global_y,global_z,delta_s,total_s,has_anchor,depth,z1,is_underground,has_hydro_loading,u_z_initial,u_y_initial,u_x_initial,theta_x_initial,theta_y_initial,theta_z_initial
0,0.0,0.0,-30.0,0.0,0.0,,,,False,False,0.0,0,0,0,0,0
1,49.99741127553898,0.6237663094652817,-30.62376630946528,50.00519276108273,50.00519276108273,,,,False,,-4.272052592092785,0,0,0,0,0
2,99.99485367770467,1.2450326825492084,-31.24503268254921,50.005161639280054,100.01035440036279,True,-48.0,-25.26420795124496,False,True,-5.980824731304249,0,0,0,0,0
3,149.99232708149975,1.863799117389135,-31.86379911750555,50.00513064241618,150.01548504277895,,,,False,,-6.119098204899243,0,0,0,0,0
4,199.98983136192146,2.480065613053739,-32.48006561305374,50.00509977050342,200.02058481328237,True,-48.0,-26.800410812911124,False,True,-5.679654800142615,0,0,0,0,0
5,249.98736639397066,3.0938321673311293,-33.09383216733113,50.005069023522864,250.02565383680525,,,,False,,-5.443804282674082,0,0,0,0,0
6,299.9849320526464,3.705098779173568,-33.70509877917357,50.00503840149609,300.03069223830136,True,-48.0,-28.358130447540734,False,True,-5.346968331632834,0,0,0,0,0
7,349.9825282129477,4.31386544671841,-34.313865446834825,50.00500790440641,350.03570014270775,,,,False,,-5.178168248578988,0,0,0,0,0
8,399.9801547498755,4.920132168685086,-34.920132168685086,50.00497753226465,400.0406776749724,True,-48.0,-29.933420257428185,False,True,-4.986711911256901,0,0,0,0,0
9,449.977811538427,5.523898943560198,-35.52389894344378,50.00494728506903,450.04562496004144,,,,False,,-4.838153463803289,0,0,0,0,0
10,499.9754984536048,6.1251657695975155,-36.125165769597515,50.00491716281981,500.05054212286126,True,-48.0,-31.52242022985745,False,True,-4.6027455397400665,0,0,0,0,0
11,549.9732153704063,6.723932645400055,-36.723932645400055,50.004887165513416,550.0554292883746,,,,False,,-4.23212559064754,0,0,0,0,0
12,599.9709621638303,7.320199569570832,-37.32019956957083,50.00485729315771,600.0602865815323,True,-48.0,-33.12142771861642,False,True,-4.198771850954415,0,0,0,0,0
13,649.9687387088761,7.913966540712863,-37.91396654059645,50.00482754575032,650.0651141272826,,,,False,,-4.891701248883804,0,0,0,0,0
14,699.9665448805445,8.505233556963503,-38.50523355684709,50.00479792328661,700.0699120505692,True,-54.0,-32.65998885185904,False,True,-5.845244704988048,0,0,0,0,0
15,749.9643805538326,9.094000617042184,-39.094000617042184,50.00476842577444,750.0746804763436,,,,False,,-6.496615940663382,0,0,0,0,0
16,799.9622456037396,9.680267719551921,-39.680267719435506,50.00473905320918,800.0794195295528,True,-58.0,-32.93102183108311,False,True,-6.749245888352398,0,0,0,0,0
17,849.9601399052663,10.264034862979315,-40.2640348628629,50.004709805598566,850.0841293351514,,,,False,,-6.659234563094951,0,0,0,0,0
18,899.9580633334081,10.845302045810968,-40.84530204581097,50.004680682933476,900.0888100180848,True,-58.0,-34.418160946537384,False,True,-6.427141099273584,0,0,0,0,0
19,949.956015763164,11.42406926676631,-41.424069266649894,50.00465168521936,950.0934617033042,,,,False,,-6.2398809381556095,0,0,0,0,0
20,999.9539970695369,12.000336524099112,-42.00033652409911,50.004622812458926,1000.0980845157632,True,-58.0,-35.91500089489442,False,True,-6.0853356292046925,0,0,0,0,0
21,1049.952007127522,12.57410381664522,-42.57410381664522,50.00459406464939,1050.1026785804127,,,,False,,-5.914048469598415,0,0,0,0,0
22,1099.9500458121147,13.14537114277482,-43.14537114277482,50.00456544178582,1100.1072440221985,True,-58.0,-37.41912750360115,False,True,-5.726243639173667,0,0,0,0,0
23,1149.9481129983178,13.71413850132376,-43.71413850132376,50.00453694388523,1150.1117809660836,,,,False,,-5.534631187849351,0,0,0,0,0
24,1199.9462085611322,14.280405890662223,-44.28040589054581,50.00450857093428,1200.116289537018,True,-58.0,-38.92822212733271,False,True,-5.352183763213098,0,0,0,0,0
25,1249.9443323755495,14.844173309276812,-44.84417330927681,50.004480322932274,1250.1207698599503,,,,False,,-5.179242507402137,0,0,0,0,0
26,1299.9424843165707,15.405440755886957,-45.40544075588696,50.00445219988607,1300.1252220598365,True,-58.0,-40.44008081280359,False,True,-4.965359943083364,0,0,0,0,0
27,1349.9406642591966,15.96420822921209,-45.96420822921209,50.004424201801335,1350.1296462616378,,,,False,,-4.651528955427271,0,0,0,0,0
28,1399.938872078419,16.520475727622397,-46.52047572773881,50.00439632866156,1400.1340425902995,True,-57.0,-42.32518322864971,False,True,-4.195292499089099,0,0,0,0,0
29,1449.9371076492425,17.074243249953724,-47.074243249953724,50.00436858048509,1450.1384111707846,,,,False,,-3.6931467719491087,0,0,0,0,0
30,1499.9353708466624,17.625510794692673,-47.62551079469267,50.00434095726326,1500.142752128048,True,-57.0,-43.844659919389734,False,True,-3.7808508753029386,0,0,0,0,0
31,1549.933661545674,18.17427836044226,-48.17427836044226,50.0043134589939,1550.1470655870419,,,,False,,-4.872106267228538,0,0,0,0,0
32,1599.9319796212785,18.720545945921913,-48.72054594592191,50.00428608568671,1600.1513516727287,True,-64.0,-42.7674250164042,False,True,-5.953120929517716,0,0,0,0,0
33,1649.9303249484728,19.264313549734652,-49.26431354961824,50.00425883733465,1650.1556105100633,,,,False,,-6.025837778460704,0,0,0,0,0
34,1699.9286974022543,19.805581170367077,-49.80558117036708,50.00423171394068,1700.159842224004,True,-64.0,-44.22294822573954,False,True,-5.582632944627534,0,0,0,0,0
35,1749.9270968576202,20.344348806655034,-50.344348806655034,50.0042047155052,1750.1640469395093,,,,False,,-5.312857527265208,0,0,0,0,0
36,1799.9255231895677,20.88061645720154,-50.880616457085125,50.00417784202737,1800.1682247815365,True,-64.0,-45.67728717103633,False,True,-5.203329286048792,0,0,0,0,0
37,1849.923976273094,21.41438412060961,-51.41438412060961,50.00415109351131,1850.172375875048,,,,False,,-5.078602302628354,0,0,0,0,0
